feature,non_missing_count,observation_rate,unique_non_missing,variance
lab_wbc_last_24h,106,0.04229848363926576,33,2710.3415094339625
lab_wbc_max_24h,106,0.04229848363926576,33,8951.028661275832
lab_wbc_min_24h,106,0.04229848363926576,33,2710.657681940701
lab_lactate_last_24h,290,0.11572226656025539,48,2.818396574394464
lab_lactate_max_24h,290,0.11572226656025539,54,4.028109891421071
vital_temperature_c_last_24h,329,0.13128491620111732,69,0.4337397229933121
vital_temperature_c_max_24h,329,0.13128491620111732,75,0.6370720472740019
vital_temperature_c_min_24h,329,0.13128491620111732,59,0.29365404961884817
vital_map_last_24h,331,0.1320830007980846,70,202.39600842259455
vital_map_min_24h,331,0.1320830007980846,63,159.9954408129635
vital_resp_rate_last_24h,338,0.13487629688747008,37,45.422128772847785
vital_resp_rate_max_24h,338,0.13487629688747008,41,56.871183256369285
vital_heart_rate_last_24h,340,0.13567438148443736,78,386.78878188443525
vital_heart_rate_max_24h,340,0.13567438148443736,86,415.398047891723
vital_heart_rate_min_24h,340,0.13567438148443736,68,283.44711955578697
vital_spo2_last_24h,340,0.13567438148443736,18,48.57508242234948
vital_spo2_min_24h,340,0.13567438148443736,30,65.7285788651744
lab_platelets_last_24h,1868,0.7454110135674381,573,27486.616911957826
lab_platelets_min_24h,1868,0.7454110135674381,571,27383.51127838521
lab_creatinine_last_24h,1880,0.7501995211492418,92,2.4291968226648395
lab_creatinine_max_24h,1880,0.7501995211492418,94,2.4760275355836625
anchor_age,2506,1.0,73,267.48941653803325
in_icu_at_alert,2506,1.0,2,0.16843455945252353
lab_creatinine_count_24h,2506,1.0,7,0.6816732058628154
lab_lactate_count_24h,2506,1.0,10,0.7039462973494353
lab_platelets_count_24h,2506,1.0,9,0.694209346669789
lab_wbc_count_24h,2506,1.0,3,0.04285252320578316
mechanical_ventilation_24h,2506,1.0,2,0.06463816182479416
mechanical_ventilation_chart_events_24h,2506,1.0,45,59.15491299922104
prior_gp_positive_specimens_24h,2506,1.0,1,0.0
prior_gp_positive_specimens_7d,2506,1.0,1,0.0
prior_positive_specimens_24h,2506,1.0,4,0.013089383881877107
prior_positive_specimens_7d,2506,1.0,6,0.1073829993643997
vasopressor_active_24h,2506,1.0,2,0.06153136663624069
vasopressor_event_count_24h,2506,1.0,28,8.503568123131233
vasopressor_on_at_alert,2506,1.0,2,0.04089076436114204
vital_heart_rate_count_24h,2506,1.0,41,70.0285902257735
vital_map_count_24h,2506,1.0,48,74.3982814896942
vital_resp_rate_count_24h,2506,1.0,43,68.42660043042407
vital_spo2_count_24h,2506,1.0,44,68.41723416694145
vital_temperature_c_count_24h,2506,1.0,25,7.494290429516068
