feature,coefficient,abs_coefficient
lab_platelets_last_24h,-1.8752896565646002,1.8752896565646002
lab_creatinine_max_24h,-1.7254051384055717,1.7254051384055717
lab_creatinine_last_24h,1.6833615844513192,1.6833615844513192
lab_platelets_min_24h,1.5446954389407896,1.5446954389407896
lab_platelets_count_24h,0.9070859186924644,0.9070859186924644
vital_heart_rate_count_24h,0.7754946338760234,0.7754946338760234
vital_resp_rate_count_24h,-0.6501337839017385,0.6501337839017385
lab_creatinine_count_24h,0.538838043217813,0.538838043217813
in_icu_at_alert,-0.3226744824189924,0.3226744824189924
vital_temperature_c_max_24h,-0.24834303041421485,0.24834303041421485
vital_temperature_c_min_24h,0.21362701321947705,0.21362701321947705
lab_lactate_count_24h,-0.18099095305272017,0.18099095305272017
vital_map_min_24h,0.17761705945629244,0.17761705945629244
lab_wbc_max_24h,-0.1517629787265047,0.1517629787265047
vital_spo2_last_24h,0.1513089277702484,0.1513089277702484
lab_lactate_max_24h,-0.14770649104987288,0.14770649104987288
vital_resp_rate_last_24h,-0.1317294924276829,0.1317294924276829
vital_heart_rate_min_24h,-0.12120916237911136,0.12120916237911136
mechanical_ventilation_chart_events_24h,-0.11954769631515984,0.11954769631515984
vital_heart_rate_last_24h,0.10953384393216663,0.10953384393216663
vital_spo2_min_24h,-0.09954584795095037,0.09954584795095037
vital_spo2_count_24h,0.0973139425262905,0.0973139425262905
mechanical_ventilation_24h,-0.0886891745854944,0.0886891745854944
vital_temperature_c_last_24h,0.0765980776593997,0.0765980776593997
vasopressor_event_count_24h,0.07446114774485288,0.07446114774485288
lab_lactate_last_24h,0.07130599613830738,0.07130599613830738
vital_resp_rate_max_24h,-0.05913507214671098,0.05913507214671098
vasopressor_on_at_alert,-0.05477449322289191,0.05477449322289191
vasopressor_active_24h,0.047479401865621676,0.047479401865621676
vital_map_last_24h,-0.04426084097554435,0.04426084097554435
lab_wbc_count_24h,-0.04279779965578265,0.04279779965578265
vital_map_count_24h,-0.0392947503522513,0.0392947503522513
prior_positive_specimens_7d,0.029456207298290155,0.029456207298290155
prior_positive_specimens_24h,-0.02205028030254117,0.02205028030254117
vital_heart_rate_max_24h,0.021085282776045943,0.021085282776045943
anchor_age,-0.01668582721979958,0.01668582721979958
lab_wbc_last_24h,0.015735745891120062,0.015735745891120062
lab_wbc_min_24h,0.01255644200925985,0.01255644200925985
vital_temperature_c_count_24h,-0.001486232154840842,0.001486232154840842
prior_gp_positive_specimens_24h,0.0,0.0
prior_gp_positive_specimens_7d,0.0,0.0
