feature,mean_abs_shap
lab_platelets_last_24h,0.66494
lab_creatinine_last_24h,0.3552832
lab_platelets_min_24h,0.32873985
anchor_age,0.25124824
lab_creatinine_max_24h,0.19014551
lab_platelets_count_24h,0.111771405
in_icu_at_alert,0.099114574
vital_temperature_c_max_24h,0.06969957
vital_temperature_c_min_24h,0.058576077
lab_creatinine_count_24h,0.057991743
vital_map_min_24h,0.054603606
vital_heart_rate_last_24h,0.044008743
mechanical_ventilation_chart_events_24h,0.039908886
vital_resp_rate_max_24h,0.038747076
lab_wbc_last_24h,0.0376988
vital_spo2_last_24h,0.03327843
vital_resp_rate_last_24h,0.031458594
lab_lactate_max_24h,0.020302337
lab_lactate_last_24h,0.018339666
vital_temperature_c_last_24h,0.01617909
vital_spo2_count_24h,0.013340459
vasopressor_event_count_24h,0.010928908
vital_spo2_min_24h,0.010834227
prior_positive_specimens_7d,0.0105868075
vital_heart_rate_min_24h,0.0102216555
vital_map_last_24h,0.008546393
lab_wbc_max_24h,0.0068598683
lab_wbc_min_24h,0.006711511
vital_temperature_c_count_24h,0.006161375
vital_map_count_24h,0.0058083353
vital_heart_rate_max_24h,0.004630702
lab_lactate_count_24h,0.0037763342
vital_heart_rate_count_24h,0.0034855895
vasopressor_active_24h,0.0027194396
vasopressor_on_at_alert,0.0026630312
vital_resp_rate_count_24h,0.0024698044
prior_positive_specimens_24h,0.00049763825
mechanical_ventilation_24h,0.00038058282
prior_gp_positive_specimens_24h,0.0
lab_wbc_count_24h,0.0
prior_gp_positive_specimens_7d,0.0
